scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.06331658291457287,-674.2172054421235
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.06130653266331659,-667.2635742327138
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.059296482412060286,-659.6518212395574
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.05728643216080401,-651.3524636062075
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.05527638190954773,-642.3360387153107
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.05326633165829145,-632.5731017619795
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.05125628140703517,-622.0342233322527
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.04924623115577889,-610.6899869863339
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.04723618090452261,-598.5109868463016
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.04522613065326633,-585.4678251879851
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.043216080402010054,-571.5311100366987
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.041206030150753775,-556.6714527665338
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.03919597989949747,-540.8594657028996
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.03718592964824119,-524.0657597280176
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.03517587939698491,-506.2609418890592
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.03316582914572863,-487.4156130086324
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.031155778894472352,-467.50036529731403
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.029145728643216073,-446.4857799679274
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.027135678391959794,-424.34242485126794
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.025125628140703515,-401.0408520129759
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.023115577889447236,-376.5515953712592
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.021105527638190957,-350.8451683151687
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.01909547738693468,-323.8920613231263
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.01708542713567837,-295.6627395814113
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.015075376884422093,-266.1276406023069
