scenario,signal,t_run_s,value
Excitation-S4D-Pinn,e_y_m,23.95235562324524,-0.009295773706886837
Excitation-S4D-Pinn,e_y_m,24.032463312149048,-0.009064459011627266
Excitation-S4D-Pinn,e_y_m,24.11246609687805,-0.008819494121909785
Excitation-S4D-Pinn,e_y_m,24.193154096603394,-0.009128317916286072
Excitation-S4D-Pinn,e_y_m,24.272482872009277,-0.00990099737164866
Excitation-S4D-Pinn,e_y_m,24.352407217025757,-0.010391025417691055
Excitation-S4D-Pinn,e_y_m,24.432504892349243,-0.011253084823622255
Excitation-S4D-Pinn,e_y_m,24.51260018348694,-0.011961943455573274
Excitation-S4D-Pinn,e_y_m,24.5927312374115,-0.012599619230286841
Excitation-S4D-Pinn,e_y_m,24.672459840774536,-0.01285270258323222
Excitation-S4D-Pinn,e_y_m,24.752416849136353,-0.013874917713590687
Excitation-S4D-Pinn,e_y_m,24.832377195358276,-0.01587378610548873
Excitation-S4D-Pinn,e_y_m,24.91238808631897,-0.01784563475049227
Excitation-S4D-Pinn,e_y_m,24.99236297607422,-0.019575420036348223
Excitation-S4D-Pinn,e_y_m,25.072536945343018,-0.01964973017596091
Excitation-S4D-Pinn,e_y_m,25.152326822280884,-0.02223401124881278
Excitation-S4D-Pinn,e_y_m,25.232298851013184,-0.0219606554969633
Excitation-S4D-Pinn,e_y_m,25.312367916107178,-0.02146052046454841
Excitation-S4D-Pinn,e_y_m,25.39243507385254,-0.0199690478505927
Excitation-S4D-Pinn,e_y_m,25.47257351875305,-0.02052643807827086
Excitation-S4D-Pinn,e_y_m,25.55222201347351,-0.019490832687295626
Excitation-S4D-Pinn,e_y_m,25.63235902786255,-0.017221868036549737
Excitation-S4D-Pinn,e_y_m,25.712608098983765,-0.01571056725666154
Excitation-S4D-Pinn,e_y_m,25.79231858253479,-0.015008083210126416
Excitation-S4D-Pinn,e_y_m,25.872737407684326,-0.01409277505236571
Excitation-S4D-Pinn,e_y_m,25.952346801757812,-0.015090065566277906
Excitation-S4D-Pinn,e_y_m,26.032408237457275,-0.01821004645374888
Excitation-S4D-Pinn,e_y_m,26.11300778388977,-0.02185681596936869
Excitation-S4D-Pinn,e_y_m,26.19229292869568,-0.0238850381364651
Excitation-S4D-Pinn,e_y_m,26.27226495742798,-0.026526892063632342
Excitation-S4D-Pinn,e_y_m,26.352322578430176,-0.02626191368970615
Excitation-S4D-Pinn,e_y_m,26.432603359222412,-0.026028179001686205
Excitation-S4D-Pinn,e_y_m,26.512706995010376,-0.02818246324872142
Excitation-S4D-Pinn,e_y_m,26.59244966506958,-0.028006465325702196
Excitation-S4D-Pinn,e_y_m,26.672361135482788,-0.02860000333879878
Excitation-S4D-Pinn,e_y_m,26.75244641304016,-0.028711226360355807
Excitation-S4D-Pinn,e_y_m,26.83243227005005,-0.028963980648079188
Excitation-S4D-Pinn,e_y_m,26.912391901016235,-0.029022084752141145
Excitation-S4D-Pinn,e_y_m,26.992388010025024,-0.03062266822341425
Excitation-S4D-Pinn,e_y_m,27.072441339492798,-0.031614678672693755
Excitation-S4D-Pinn,e_y_m,27.15324115753174,-0.03346745408421995
Excitation-S4D-Pinn,e_y_m,27.232852697372437,-0.034365654145178184
Excitation-S4D-Pinn,e_y_m,27.31266140937805,-0.03562196005014208
Excitation-S4D-Pinn,e_y_m,27.392377853393555,-0.03481364266489126
Excitation-S4D-Pinn,e_y_m,27.472306966781616,-0.03164035465335216
Excitation-S4D-Pinn,e_y_m,27.552325963974,-0.03115815256804297
Excitation-S4D-Pinn,e_y_m,27.632331132888794,-0.030500173325533952
Excitation-S4D-Pinn,e_y_m,27.712709426879883,-0.030532586896854577
Excitation-S4D-Pinn,e_y_m,27.792742490768433,-0.028967831328501413
Excitation-S4D-Pinn,e_y_m,27.87272620201111,-0.028090503732203648
Excitation-S4D-Pinn,e_y_m,27.95242142677307,-0.027032999491887005
Excitation-S4D-Pinn,e_y_m,28.032492637634277,-0.026037787282353037
Excitation-S4D-Pinn,e_y_m,28.112271785736084,-0.025514788549293815
Excitation-S4D-Pinn,e_y_m,28.192777633666992,-0.026764233737355286
Excitation-S4D-Pinn,e_y_m,28.27239227294922,-0.026408374485694733
Excitation-S4D-Pinn,e_y_m,28.352368593215942,-0.025712560048318275
Excitation-S4D-Pinn,e_y_m,28.43238854408264,-0.024851492461511762
Excitation-S4D-Pinn,e_y_m,28.512267351150513,-0.022735755441943506
Excitation-S4D-Pinn,e_y_m,28.592393159866333,-0.022360952405667878
Excitation-S4D-Pinn,e_y_m,28.67230224609375,-0.024466836589363092
Excitation-S4D-Pinn,e_y_m,28.75298833847046,-0.025075825361197568
Excitation-S4D-Pinn,e_y_m,28.832307815551758,-0.025651953911803003
Excitation-S4D-Pinn,e_y_m,28.912437200546265,-0.02523832780948526
Excitation-S4D-Pinn,e_y_m,28.992729663848877,-0.024992086694464066
Excitation-S4D-Pinn,e_y_m,29.072227478027344,-0.026101262792750185
Excitation-S4D-Pinn,e_y_m,29.152350664138794,-0.02540361552363765
Excitation-S4D-Pinn,e_y_m,29.232266187667847,-0.0257295639644517
Excitation-S4D-Pinn,e_y_m,29.313039541244507,-0.02478500593489076
Excitation-S4D-Pinn,e_y_m,29.39241099357605,-0.0235093200411573
