scenario,series,alpha_rad_or_coefficient,value
Excitation-S4D-Pinn,front,-0.15376884422110554,-1050.6496246392546
Excitation-S4D-Pinn,front,-0.15175879396984926,-1051.1196603007886
Excitation-S4D-Pinn,front,-0.14974874371859298,-1051.5741882551217
Excitation-S4D-Pinn,front,-0.1477386934673367,-1052.0108065840966
Excitation-S4D-Pinn,front,-0.14572864321608042,-1052.4268616401855
Excitation-S4D-Pinn,front,-0.14371859296482414,-1052.819422378871
Excitation-S4D-Pinn,front,-0.14170854271356784,-1053.185252059966
Excitation-S4D-Pinn,front,-0.13969849246231156,-1053.520777056435
Excitation-S4D-Pinn,front,-0.13768844221105528,-1053.8220524871824
Excitation-S4D-Pinn,front,-0.135678391959799,-1054.0847243675341
Excitation-S4D-Pinn,front,-0.13366834170854272,-1054.3039879481344
Excitation-S4D-Pinn,front,-0.13165829145728644,-1054.4745418902867
Excitation-S4D-Pinn,front,-0.12964824120603013,-1054.5905379040794
Excitation-S4D-Pinn,front,-0.12763819095477386,-1054.6455254559808
Excitation-S4D-Pinn,front,-0.12562814070351758,-1054.6323911362392
Excitation-S4D-Pinn,front,-0.12361809045226131,-1054.5432922650539
Excitation-S4D-Pinn,front,-0.12160804020100503,-1054.369584312232
Excitation-S4D-Pinn,front,-0.11959798994974874,-1054.1017417106375
Excitation-S4D-Pinn,front,-0.11758793969849246,-1053.7292716625414
Excitation-S4D-Pinn,front,-0.11557788944723618,-1053.2406205742436
Excitation-S4D-Pinn,front,-0.1135678391959799,-1052.6230728131918
Excitation-S4D-Pinn,front,-0.11155778894472362,-1051.8626415696199
Excitation-S4D-Pinn,front,-0.10954773869346734,-1050.9439517290305
Excitation-S4D-Pinn,front,-0.10753768844221105,-1049.8501148316657
Excitation-S4D-Pinn,front,-0.10552763819095477,-1048.5625964210633
Excitation-S4D-Pinn,front,-0.1035175879396985,-1047.061076378097
Excitation-S4D-Pinn,front,-0.10150753768844221,-1045.323303213374
Excitation-S4D-Pinn,front,-0.09949748743718594,-1043.324943764872
Excitation-S4D-Pinn,front,-0.09748743718592964,-1041.0394303355913
Excitation-S4D-Pinn,front,-0.09547738693467336,-1038.4378080246306
Excitation-S4D-Pinn,front,-0.09346733668341708,-1035.4885858705668
Excitation-S4D-Pinn,front,-0.0914572864321608,-1032.15759645216
Excitation-S4D-Pinn,front,-0.08944723618090453,-1028.4078697872708
Excitation-S4D-Pinn,front,-0.08743718592964825,-1024.199528737668
Excitation-S4D-Pinn,front,-0.08542713567839195,-1019.4897146540428
Excitation-S4D-Pinn,front,-0.08341708542713568,-1014.2325536534394
Excitation-S4D-Pinn,front,-0.0814070351758794,-1008.379175657718
Excitation-S4D-Pinn,front,-0.07939698492462312,-1001.8778000523807
Excitation-S4D-Pinn,front,-0.07738693467336684,-994.6739034264453
Excitation-S4D-Pinn,front,-0.07537688442211055,-986.7104861555334
Excitation-S4D-Pinn,front,-0.07336683417085427,-977.9284553689155
Excitation-S4D-Pinn,front,-0.07135678391959799,-968.2671418196251
Excitation-S4D-Pinn,front,-0.06934673366834171,-957.6649670282968
Excitation-S4D-Pinn,front,-0.06733668341708543,-946.0602744348529
Excitation-S4D-Pinn,front,-0.06532663316582915,-933.392333799933
Excitation-S4D-Pinn,front,-0.06331658291457287,-919.6025214205287
Excitation-S4D-Pinn,front,-0.06130653266331659,-904.6356696326237
Excitation-S4D-Pinn,front,-0.059296482412060286,-888.4415675178008
Excitation-S4D-Pinn,front,-0.05728643216080401,-870.9765809284397
Excitation-S4D-Pinn,front,-0.05527638190954773,-852.2053444688978
Excitation-S4D-Pinn,front,-0.05326633165829145,-832.1024619086479
Excitation-S4D-Pinn,front,-0.05125628140703517,-810.6541360873315
Excitation-S4D-Pinn,front,-0.04924623115577889,-787.8596365183357
Excitation-S4D-Pinn,front,-0.04723618090452261,-763.7325046681564
Excitation-S4D-Pinn,front,-0.04522613065326633,-738.30139534599
Excitation-S4D-Pinn,front,-0.043216080402010054,-711.6104595175314
Excitation-S4D-Pinn,front,-0.041206030150753775,-683.7191901984393
Excitation-S4D-Pinn,front,-0.03919597989949747,-654.7016788879132
Excitation-S4D-Pinn,front,-0.03718592964824119,-624.6452640062441
Excitation-S4D-Pinn,front,-0.03517587939698491,-593.6485924361486
Excitation-S4D-Pinn,front,-0.03316582914572863,-561.8191568796849
Excitation-S4D-Pinn,front,-0.031155778894472352,-529.2704110357962
Excitation-S4D-Pinn,front,-0.029145728643216073,-496.11859727325
Excitation-S4D-Pinn,front,-0.027135678391959794,-462.47944388816506
Excitation-S4D-Pinn,front,-0.025125628140703515,-428.4648988276932
Excitation-S4D-Pinn,front,-0.023115577889447236,-394.18006319776885
Excitation-S4D-Pinn,front,-0.021105527638190957,-359.72047191638916
Excitation-S4D-Pinn,front,-0.01909547738693468,-325.16984294084875
Excitation-S4D-Pinn,front,-0.01708542713567837,-290.5983839736825
Excitation-S4D-Pinn,front,-0.015075376884422093,-256.0617101902489
Excitation-S4D-Pinn,front,-0.013065326633165814,-221.60039186020487
Excitation-S4D-Pinn,front,-0.011055276381909535,-187.24011959704796
Excitation-S4D-Pinn,front,-0.009045226130653256,-152.99244924342528
Excitation-S4D-Pinn,front,-0.0070351758793969765,-118.85606893100656
Excitation-S4D-Pinn,front,-0.0050251256281406975,-84.81851755714372
Excitation-S4D-Pinn,front,-0.0030150753768844185,-50.85827599855228
Excitation-S4D-Pinn,front,-0.0010050251256281395,-16.947148597310342
Excitation-S4D-Pinn,front,0.0010050251256281395,16.947148597310342
Excitation-S4D-Pinn,front,0.0030150753768844185,50.85827599855228
Excitation-S4D-Pinn,front,0.005025125628140725,84.81851755714419
Excitation-S4D-Pinn,front,0.007035175879397004,118.85606893100702
Excitation-S4D-Pinn,front,0.009045226130653283,152.99244924342574
Excitation-S4D-Pinn,front,0.011055276381909562,187.24011959704845
Excitation-S4D-Pinn,front,0.013065326633165841,221.60039186020532
Excitation-S4D-Pinn,front,0.01507537688442212,256.06171019024947
Excitation-S4D-Pinn,front,0.0170854271356784,290.5983839736831
Excitation-S4D-Pinn,front,0.01909547738693468,325.16984294084875
Excitation-S4D-Pinn,front,0.021105527638190957,359.72047191638916
Excitation-S4D-Pinn,front,0.023115577889447236,394.18006319776885
Excitation-S4D-Pinn,front,0.025125628140703515,428.4648988276932
Excitation-S4D-Pinn,front,0.027135678391959822,462.47944388816563
Excitation-S4D-Pinn,front,0.0291457286432161,496.1185972732504
Excitation-S4D-Pinn,front,0.03115577889447238,529.2704110357967
Excitation-S4D-Pinn,front,0.03316582914572866,561.8191568796856
Excitation-S4D-Pinn,front,0.03517587939698494,593.6485924361492
Excitation-S4D-Pinn,front,0.03718592964824122,624.6452640062447
Excitation-S4D-Pinn,front,0.039195979899497496,654.7016788879137
Excitation-S4D-Pinn,front,0.041206030150753775,683.7191901984393
Excitation-S4D-Pinn,front,0.043216080402010054,711.6104595175314
Excitation-S4D-Pinn,front,0.04522613065326633,738.30139534599
Excitation-S4D-Pinn,front,0.04723618090452264,763.7325046681567
Excitation-S4D-Pinn,front,0.04924623115577892,787.8596365183361
Excitation-S4D-Pinn,front,0.0512562814070352,810.6541360873317
Excitation-S4D-Pinn,front,0.05326633165829148,832.1024619086484
Excitation-S4D-Pinn,front,0.055276381909547756,852.2053444688981
Excitation-S4D-Pinn,front,0.057286432160804035,870.97658092844
