scenario,e_y_m
ours,0.002178199138019754
ours,0.00230675167697153
ours,0.0021687447102605173
ours,0.0021687573795908244
ours,0.0018472748345410295
ours,0.0012469965884577827
ours,0.0009446531648037437
ours,0.00045168890551694485
ours,0.00010598073567858607
ours,0.00026081761958085536
ours,0.0007833186724857319
ours,0.001700456329931821
ours,0.0025442680848211663
ours,0.0032857611518680163
ours,0.003772963019787662
ours,0.003970655941556864
ours,0.004106112347659369
ours,0.00453819668739705
ours,0.0045008572978018635
ours,0.0042552471735488595
ours,0.003722722879307694
ours,0.003336872343915609
ours,0.0026411722997263937
ours,0.002203331341894904
ours,0.0017521096864175911
ours,0.0011320609820793526
ours,0.0005569572403288595
ours,-0.0005145275448393549
ours,-0.0017028134742846923
ours,-0.0022524666669421767
ours,-0.00242399639003758
ours,-0.0017229547630106534
ours,-0.0004901384730297831
ours,0.0006158611326886887
ours,0.0030534419042339556
ours,0.003896878980138907
ours,0.004708964287277628
ours,0.004598510715165052
ours,0.004132250738827878
ours,0.0034973438419358405
ours,0.003148217252720159
ours,0.0031800930429262686
ours,0.0031618499114064447
ours,0.0034694089125036354
ours,0.003530748909142775
ours,0.0035286142464471607
ours,0.003430449710610857
ours,0.0029104204834444376
ours,0.0022627186522506115
ours,0.0014937045228604062
ours,-0.0013453165659765842
ours,-0.004816386852293797
ours,-0.009472676956020554
ours,-0.01113055002602148
ours,-0.013361914941448338
ours,-0.0165445219248469
ours,-0.01898237596459032
ours,-0.020507430588029674
ours,-0.02155097138496568
ours,-0.02257507260983696
ours,-0.023781663513555068
ours,-0.025353295407606974
ours,-0.027371365502165707
ours,-0.02917200887870053
ours,-0.0323242151970502
ours,-0.03492988558786242
ours,-0.0373258053378564
ours,-0.04060971760593529
ours,-0.043230051142994275
ours,-0.04823461294033893
ours,-0.05184692126076546
ours,-0.05466993728546531
ours,-0.05657529399742808
ours,-0.05888059649403976
ours,-0.06130054205144303
ours,-0.063842089750588
ours,-0.06690725691994631
ours,-0.06757252858967655
ours,-0.07284047056487603
ours,-0.0768834783953376
ours,-0.07960300000824058
ours,-0.08471690081082607
ours,-0.08775834631573044
ours,-0.09079775172787409
ours,-0.09410150169654675
ours,-0.09820081220043567
ours,-0.10223501041834757
ours,-0.11126464312861803
ours,-0.1252323661481074
ours,-0.13348599499812586
ours,-0.13244334983166345
ours,-0.12843266537452958
ours,-0.11624590875913476
ours,-0.10460230346834828
ours,-0.09897109469363877
ours,-0.09631463343765406
ours,-0.10778254044244778
ours,-0.1361602804750087
ours,-0.13764920389765178
ours,-0.16371756860028405
ours,-0.16953545579564688
ours,-0.16141831574336885
ours,-0.15996290827838777
ours,-0.14974492026997915
ours,-0.13424531316681895
ours,-0.1295337248712651
ours,-0.13142441755833212
ours,-0.1445547834204639
ours,-0.15903297430499128
ours,-0.17112506016729528
ours,-0.18213758290814566
ours,-0.18930285317602696
ours,-0.20250502643057874
ours,-0.20633802402462453
ours,-0.2107750945480022
ours,-0.2224591903523227
ours,-0.2338582976787556
ours,-0.2544249054717619
ours,-0.2743684971093425
ours,-0.278715321697592
ours,-0.2710936446324826
ours,-0.2339066603558288
ours,-0.19955871144752066
ours,-0.14908172864608107
ours,-0.12571385685506237
ours,-0.10178456366450805
ours,-0.09367603723423938
ours,-0.09401395609660812
ours,-0.10165062835682362
ours,-0.11027694205260244
ours,-0.11454968788750924
ours,-0.11592294553078336
ours,-0.11459789768610379
ours,-0.10379345815226272
ours,-0.08949183990071674
ours,-0.07197905737891862
ours,-0.06077653168451928
ours,-0.04477662593071277
ours,-0.03336334564713707
ours,-0.027809730822616285
ours,-0.022292750608174688
ours,-0.016776595947378965
ours,-0.011450020855455344
ours,-0.005296593369489757
ours,0.0004078252999127549
ours,0.006949567841755997
ours,0.010701493596013172
ours,0.014906555232044021
ours,0.01455595181251803
ours,0.01728401692944108
ours,0.020593701802229025
ours,0.027687873353434627
ours,0.03370612163344254
ours,0.040985877910068885
ours,0.05792322321514708
ours,0.07182339902823519
ours,0.08765113207809191
ours,0.09973270223031866
ours,0.106597131340013
ours,0.1280253686754596
ours,0.13453334736112377
ours,0.13605843728540915
ours,0.1282643538209996
ours,0.09623854814215732
ours,0.07544936251001111
ours,0.050398827466130475
ours,0.02432295450340166
ours,-0.021220761841139135
ours,-0.056792215570693305
ours,-0.0768596557959032
ours,-0.08305852084868659
