t_s,commanded_tire_friction,schedule
28.833,1.000000,constant
28.866,1.000000,constant
28.900,1.000000,constant
28.933,1.000000,constant
28.966,1.000000,constant
28.999,1.000000,constant
29.033,1.000000,constant
29.066,1.000000,constant
29.100,1.000000,constant
29.133,1.000000,constant
29.166,1.000000,constant
29.199,1.000000,constant
29.233,1.000000,constant
29.266,1.000000,constant
29.299,1.000000,constant
29.333,1.000000,constant
29.366,1.000000,constant
29.400,1.000000,constant
29.433,1.000000,constant
29.466,1.000000,constant
29.499,1.000000,constant
29.533,1.000000,constant
29.566,1.000000,constant
29.600,1.000000,constant
29.633,1.000000,constant
29.666,1.000000,constant
29.699,1.000000,constant
29.733,1.000000,constant
29.766,1.000000,constant
29.799,1.000000,constant
29.833,1.000000,constant
29.866,1.000000,constant
29.899,1.000000,constant
29.933,1.000000,constant
29.966,1.000000,constant
29.999,1.000000,constant
30.033,1.000000,constant
30.066,1.000000,constant
30.100,1.000000,constant
30.133,1.000000,constant
30.166,1.000000,constant
30.200,1.000000,constant
30.233,1.000000,constant
30.266,1.000000,constant
30.300,1.000000,constant
30.333,1.000000,constant
30.366,1.000000,constant
30.400,1.000000,constant
30.433,1.000000,constant
30.466,1.000000,constant
30.500,1.000000,constant
30.533,1.000000,constant
30.566,1.000000,constant
30.599,1.000000,constant
30.633,1.000000,constant
30.666,1.000000,constant
30.700,1.000000,constant
30.733,1.000000,constant
30.766,1.000000,constant
30.799,1.000000,constant
30.833,1.000000,constant
30.866,1.000000,constant
30.900,1.000000,constant
30.933,1.000000,constant
30.966,1.000000,constant
30.999,1.000000,constant
31.033,1.000000,constant
31.066,1.000000,constant
31.099,1.000000,constant
31.133,1.000000,constant
31.166,1.000000,constant
31.200,1.000000,constant
31.233,1.000000,constant
31.266,1.000000,constant
31.300,1.000000,constant
31.333,1.000000,constant
31.366,1.000000,constant
31.400,1.000000,constant
31.433,1.000000,constant
31.466,1.000000,constant
31.500,1.000000,constant
31.533,1.000000,constant
31.566,1.000000,constant
31.600,1.000000,constant
31.633,1.000000,constant
31.666,1.000000,constant
31.700,1.000000,constant
