scenario,signal,series,t_s,value
ours,v_y,ground_truth,64.812,0.3032531800344156
ours,v_y,ground_truth,64.944,0.28453440971033217
ours,v_y,ground_truth,65.076,0.29101096675504756
ours,v_y,ground_truth,65.208,0.3061722144066419
ours,v_y,ground_truth,65.34,0.3049371017872815
ours,v_y,ground_truth,65.406,0.3161208363595662
ours,v_y,ground_truth,65.538,0.3133291736110593
ours,v_y,ground_truth,65.604,0.30582250420101964
ours,v_y,ground_truth,65.736,0.2904140569024509
ours,v_y,ground_truth,65.868,0.2924167760888441
ours,v_y,ground_truth,66.0,0.33306876097935145
ours,v_y,ground_truth,66.132,0.3836042641091346
ours,v_y,ground_truth,66.264,0.38618650022028866
ours,v_y,ground_truth,66.462,0.29393035951370017
ours,v_y,ground_truth,66.66,0.18496817331651627
ours,v_y,ground_truth,66.792,0.1378554746863916
ours,v_y,ground_truth,66.924,0.11433711249832079
ours,v_y,ground_truth,67.122,0.10254618867685039
ours,v_y,ground_truth,67.32,0.11557729681613793
ours,v_y,ground_truth,67.452,0.1281063581346178
ours,v_y,ground_truth,67.584,0.1426626762265446
ours,v_y,ground_truth,67.716,0.15123952739892133
ours,v_y,ground_truth,67.848,0.1593590466185173
ours,v_y,ground_truth,68.013,0.16232777691367772
ours,v_y,ground_truth,68.112,0.15881136477513813
ours,v_y,ground_truth,68.244,0.15362438957932234
ours,v_y,ground_truth,68.376,0.1493869717255638
ours,v_y,ground_truth,68.442,0.14710048377617468
ours,v_y,ground_truth,68.574,0.14401552708292797
ours,v_y,ground_truth,68.64,0.1431059562381396
ours,v_y,ground_truth,68.838,0.142631838794669
ours,v_y,ground_truth,69.036,0.14782124661963714
ours,v_y,ground_truth,69.135,0.1513321976903388
ours,v_y,ground_truth,69.234,0.15051251344025296
ours,v_y,ground_truth,69.333,0.1487423915895203
ours,v_y,ground_truth,69.498,0.1476192603635944
ours,v_y,ground_truth,69.564,0.1481550712641262
ours,v_y,ground_truth,69.729,0.1474365234620354
ours,v_y,ground_truth,69.828,0.147376571505891
