scenario,controller,abs_e_y_m
ours_mu_0.7,RUNNING_PP,0.00275162928299158
ours_mu_0.7,RUNNING_PP,0.002805575148213696
ours_mu_0.7,RUNNING_PP,0.0028000491856245424
ours_mu_0.7,RUNNING_PP,0.0029725913566469586
ours_mu_0.7,RUNNING_PP,0.0030164743054247635
ours_mu_0.7,RUNNING_PP,0.0031369763985159838
ours_mu_0.7,RUNNING_PP,0.0031143272508741826
ours_mu_0.7,RUNNING_PP,0.0032952744707753223
ours_mu_0.7,RUNNING_PP,0.003507914494911113
ours_mu_0.7,RUNNING_PP,0.003784074952863911
ours_mu_0.7,RUNNING_PP,0.004086305518782557
ours_mu_0.7,RUNNING_PP,0.004293813197710078
ours_mu_0.7,RUNNING_PP,0.004520740367783965
ours_mu_0.7,RUNNING_PP,0.004775633621968034
ours_mu_0.7,RUNNING_PP,0.004944917237356017
ours_mu_0.7,RUNNING_PP,0.004953603580400687
