scenario,e_y_m
ours,-0.0019556450908640444
ours,-0.0019454210004078432
ours,-0.001554311585224788
ours,-0.0012117266963527218
ours,-0.002022920973650512
ours,-0.001872866958600148
ours,-0.0018683336815196322
ours,-0.0019078075789462912
ours,-0.0016579852711416376
ours,-0.0018954079541194102
ours,-0.0019447399547153355
ours,-0.0020253143617568886
ours,-0.0017085935326645596
ours,-0.0016715700799593697
ours,-0.0015012616713547533
ours,-0.0015579109391972157
ours,-0.0017454216715669102
ours,-0.001514708641768503
ours,-0.00155570586413728
ours,-0.0016189757293917084
ours,-0.0017542561886542962
ours,-0.0018303923806272382
ours,-0.0018830662061617987
ours,-0.0021601571335899683
ours,-0.002282380584540916
ours,-0.0024335011905337323
ours,-0.002377291421389094
ours,-0.0024259699008511992
ours,-0.0025557809040041013
ours,-0.0026445545433573525
ours,-0.002764548791380883
ours,-0.0027645796584099824
ours,-0.0028469063187042676
ours,-0.003164301987155775
ours,-0.0033958754932334467
ours,-0.003976842420464588
ours,-0.004402402020506485
ours,-0.004615482596629805
ours,-0.004960663294985457
ours,-0.005201654693059221
ours,-0.005115484039455359
ours,-0.005040306312667969
ours,-0.005154843662795061
ours,-0.00491981614087994
ours,-0.00464619882427017
ours,-0.004532643268012948
ours,-0.004259332384745129
ours,-0.003561362561826681
ours,-0.0034648349305304305
ours,-0.0038795727870113983
ours,-0.0035034621349017137
ours,-0.0034498996004913296
ours,-0.0038334709770899145
ours,-0.004104362040731002
ours,-0.003817090260771011
ours,-0.00390473702086222
ours,-0.004469871616033905
ours,-0.00428508159944585
ours,-0.004030157099124493
ours,-0.004270496210131286
ours,-0.004836692343478333
ours,-0.0037067195753278104
ours,-0.0029859518738736476
ours,-0.003037219084238818
ours,-0.002905897771397603
ours,-0.0015367551754827402
ours,-0.00040435909838959505
ours,0.00018146457641005087
ours,0.0039024098957591846
ours,0.01067114520583562
ours,0.018636233614783893
ours,0.025813789421031325
ours,0.030096508183087733
ours,0.031787256152220944
ours,0.03729159372755214
ours,0.04199318683367465
ours,0.041691561094706175
ours,0.04290386163332499
ours,0.047851686596656035
ours,0.04980402917441701
ours,0.04903834895757769
ours,0.056014341436643855
ours,0.06403803130004869
ours,0.06800656735705568
ours,0.07002044989284084
ours,0.08277320681460663
ours,0.08970044143361411
ours,0.0860522471591601
ours,0.09356211753938018
ours,0.10142586212444799
ours,0.10294392866674568
ours,0.0975803149467648
ours,0.10835322336352432
ours,0.1095171589573343
ours,0.10439324811302575
ours,0.1170033720559892
ours,0.1258777032362669
ours,0.12820774870424861
ours,0.13208342185635386
ours,0.15006572211067032
ours,0.15237577872013008
ours,0.15819376619546222
ours,0.17730079869450086
ours,0.18527034386779342
ours,0.18270806828995645
ours,0.1970286341268027
ours,0.20978696357511886
ours,0.21140650431696692
ours,0.2083611050153569
ours,0.22866701708147863
ours,0.21763426674758946
ours,0.22124265069220728
ours,0.2223473254391803
ours,0.22150259672704525
ours,0.20435300176501067
ours,0.19022585020521574
ours,0.17137592120415562
ours,0.15602318800112383
ours,0.13549472971072207
ours,0.13314489575916783
ours,0.11858059029152591
ours,0.10530355061290037
ours,0.09045737287679956
ours,0.08360637395050291
ours,0.08162290915298567
ours,0.0750293647333102
ours,0.07176153593972462
ours,0.07280200786134872
ours,0.06970347831607075
ours,0.06349441896067282
ours,0.06566483698358627
ours,0.06246590428366052
ours,0.05616047188860712
ours,0.053775807425751054
ours,0.04919846554003672
ours,0.042387118885900354
ours,0.0359543379282081
ours,0.03406209889678059
ours,0.03115981763658467
ours,0.028260235392001176
ours,0.025485264120976542
ours,0.025940735306034496
ours,0.025791042858848912
ours,0.024607397405972523
ours,0.02273192675716862
ours,0.021458650338399277
ours,0.020327281290748622
ours,0.018360842031692845
ours,0.015466562413909757
ours,0.013066522743382242
ours,0.010824751872689525
ours,0.00863536606384864
ours,0.007002353774279962
ours,0.005111055902288136
ours,0.0025926181342874888
ours,0.0005877247565036076
ours,0.0006823731093953678
ours,-0.001583376064062919
ours,-0.004461240620772161
ours,-0.00726637916183125
ours,-0.009184524965234267
ours,-0.011768720430670204
ours,-0.014266893888667143
ours,-0.01660975013406224
ours,-0.021117117752277703
ours,-0.025778617661384888
ours,-0.02910895672650786
ours,-0.03218301945600601
ours,-0.0326541553890789
ours,-0.03433013019251785
ours,-0.04073594214385854
ours,-0.044992881521969647
ours,-0.04600183298871913
ours,-0.05350786419449427
ours,-0.06123514472540405
ours,-0.05947941609274421
