scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,31.581,3.7254736994730635
ours,front_sum_fy,31.746,2.4314360983542933
ours,front_sum_fy,31.911,1.885862364373537
ours,front_sum_fy,32.076,1.4286426346914505
ours,front_sum_fy,32.241,1.5640365136822965
ours,front_sum_fy,32.406,2.477721677902945
ours,front_sum_fy,32.571,2.660421376565095
ours,front_sum_fy,32.736,3.3604572750176676
ours,front_sum_fy,32.901,4.294693318948646
ours,front_sum_fy,33.066,4.963027277650156
ours,front_sum_fy,33.231,5.058759424337808
ours,front_sum_fy,33.396,4.393751909886944
ours,front_sum_fy,33.561,3.7899169323043864
ours,front_sum_fy,33.726,3.673701368011578
ours,front_sum_fy,33.891,3.040655888864194
ours,front_sum_fy,34.056,2.0407342587348793
ours,front_sum_fy,34.221,1.8580625365559769
ours,front_sum_fy,34.386,1.3713949110086574
ours,front_sum_fy,34.551,1.311773753854073
ours,front_sum_fy,34.716,1.1244893168506103
ours,front_sum_fy,34.881,2.0624601778969414
ours,front_sum_fy,35.046,3.9635589912890055
ours,front_sum_fy,35.211,5.0318877779974756
ours,front_sum_fy,35.376,5.902914678521249
ours,front_sum_fy,35.541,6.804281720665614
ours,front_sum_fy,35.706,7.514911047141453
ours,front_sum_fy,35.871,7.729592077125247
ours,front_sum_fy,36.036,11.010783088718313
ours,front_sum_fy,36.201,15.572500026661487
ours,front_sum_fy,36.366,17.31484604055936
ours,front_sum_fy,36.531,22.895167168955425
ours,front_sum_fy,36.696,21.449117010859567
ours,front_sum_fy,36.861,23.641268351215217
ours,front_sum_fy,37.026,23.746765562115
ours,front_sum_fy,37.191,23.099290054781193
ours,front_sum_fy,37.356,25.52548549913587
ours,front_sum_fy,37.521,27.6124709424638
ours,front_sum_fy,37.686,28.81125887405807
ours,front_sum_fy,37.851,33.54922511842079
ours,front_sum_fy,38.016,35.74305898352827
ours,front_sum_fy,38.181,38.28840685106212
ours,front_sum_fy,38.346,38.37505932365332
ours,front_sum_fy,38.511,39.76691201769739
ours,front_sum_fy,38.676,36.08603613106419
ours,front_sum_fy,38.841,37.87324337235265
ours,front_sum_fy,39.006,27.3886611265807
ours,front_sum_fy,39.171,33.4222724561144
ours,front_sum_fy,39.336,30.88973295895812
ours,front_sum_fy,39.501,33.654812219966516
ours,front_sum_fy,39.666,21.271948745723307
ours,front_sum_fy,39.831,25.302306001592797
ours,front_sum_fy,39.996,33.90120199130024
ours,front_sum_fy,40.161,32.29854735645597
ours,front_sum_fy,40.326,14.546719254238951
ours,front_sum_fy,40.491,34.14552787769321
ours,front_sum_fy,40.656,28.903621130911006
ours,front_sum_fy,40.821,20.455529165286748
ours,front_sum_fy,40.986,34.55562069197754
ours,front_sum_fy,41.151,33.288171293118694
ours,front_sum_fy,41.316,37.39553691755265
ours,front_sum_fy,41.481,39.2813283696795
ours,front_sum_fy,41.646,34.280598760547264
ours,front_sum_fy,41.778,37.354240750158624
ours,front_sum_fy,41.811,34.28558770095162
ours,front_sum_fy,41.877,30.802368939158214
ours,front_sum_fy,41.91,38.95160916715383
ours,front_sum_fy,41.976,33.61485569390226
ours,front_sum_fy,42.009,32.87699030769937
ours,front_sum_fy,42.075,28.866295250463963
ours,front_sum_fy,42.207,32.00629614471336
ours,front_sum_fy,42.372,26.192107462908552
ours,front_sum_fy,42.405,33.577978679061516
ours,front_sum_fy,42.438,30.94936010912477
ours,front_sum_fy,42.504,24.804111084072815
ours,front_sum_fy,42.57,27.05020032027653
ours,front_sum_fy,42.603,24.086436329882076
ours,front_sum_fy,42.636,27.64419353738242
ours,front_sum_fy,42.702,27.055833558970335
ours,front_sum_fy,42.768,23.905629095666427
ours,front_sum_fy,42.801,25.694236373739727
ours,front_sum_fy,42.834,22.94293110874969
ours,front_sum_fy,42.9,24.584923701781804
ours,front_sum_fy,42.966,27.65426909955096
ours,front_sum_fy,43.032,23.733770912401724
ours,front_sum_fy,43.098,22.927101978445535
ours,front_sum_fy,43.131,23.512669299816025
ours,front_sum_fy,43.23,24.16841600839814
ours,front_sum_fy,43.296,26.373340083091307
ours,front_sum_fy,43.329,26.151676046116222
ours,front_sum_fy,43.362,30.809478206698202
ours,front_sum_fy,43.428,24.24423994876753
ours,front_sum_fy,43.494,24.844710543158158
ours,front_sum_fy,43.527,24.82233898845334
ours,front_sum_fy,43.56,25.174936168563818
ours,front_sum_fy,43.626,21.210957042439645
ours,front_sum_fy,43.692,26.102697624817438
ours,front_sum_fy,43.725,26.614942579152626
ours,front_sum_fy,43.758,24.787739794118295
ours,front_sum_fy,43.824,25.94020578545701
ours,front_sum_fy,43.89,28.456710617325655
ours,front_sum_fy,43.956,29.301617856516827
ours,front_sum_fy,44.022,24.085425624987238
ours,front_sum_fy,44.088,28.535964486620003
ours,front_sum_fy,44.154,33.373317595254946
ours,front_sum_fy,44.22,32.284499273765164
ours,front_sum_fy,44.286,32.74742794639718
ours,front_sum_fy,44.352,26.794953146968737
ours,front_sum_fy,44.418,28.468102269706833
ours,front_sum_fy,44.451,34.72315408587178
ours,front_sum_fy,44.484,34.626149322166555
ours,front_sum_fy,44.55,36.45435472294207
ours,front_sum_fy,44.616,36.32759689666466
ours,front_sum_fy,44.682,30.910903248104603
ours,front_sum_fy,44.748,33.57082294796686
ours,front_sum_fy,44.814,29.147060032432535
ours,front_sum_fy,44.847,29.84992856608929
ours,front_sum_fy,44.88,30.63284122191726
ours,front_sum_fy,44.946,33.93531685061464
ours,front_sum_fy,45.012,32.6513730907821
ours,front_sum_fy,45.045,29.650155827565953
ours,front_sum_fy,45.078,29.594975155304894
ours,front_sum_fy,45.144,27.78794340750639
ours,front_sum_fy,45.21,24.905345761904016
ours,front_sum_fy,45.276,24.829783397611592
ours,front_sum_fy,45.342,21.80824751399453
ours,front_sum_fy,45.408,22.657440493668503
ours,front_sum_fy,45.474,21.26366154094103
ours,front_sum_fy,45.54,21.328935810572744
ours,front_sum_fy,45.606,24.50652475364012
ours,front_sum_fy,45.672,27.652804892272343
ours,front_sum_fy,45.738,28.97250195473964
ours,front_sum_fy,45.771,29.886862345378347
ours,front_sum_fy,45.804,34.07216477862718
ours,front_sum_fy,45.87,36.11046878815978
ours,front_sum_fy,45.936,36.18482888895937
ours,front_sum_fy,45.969,36.89963423831364
ours,front_sum_fy,46.002,33.4690345958077
ours,front_sum_fy,46.068,34.471823797449275
ours,front_sum_fy,46.134,33.59998935719722
ours,front_sum_fy,46.167,33.251680360408756
ours,front_sum_fy,46.2,31.402037225025566
ours,front_sum_fy,46.266,31.82896269248272
ours,front_sum_fy,46.332,29.16211584825706
ours,front_sum_fy,46.365,27.19226100273272
ours,front_sum_fy,46.398,28.877156590005768
ours,front_sum_fy,46.464,22.571554079913312
ours,front_sum_fy,46.53,17.750218106935037
ours,front_sum_fy,46.596,17.86777128901514
ours,front_sum_fy,46.662,13.643972127071152
ours,front_sum_fy,46.728,13.699596624322396
ours,front_sum_fy,46.794,14.027842535357806
ours,front_sum_fy,46.86,12.721484016848237
ours,front_sum_fy,46.926,12.621821682416652
ours,front_sum_fy,46.992,12.221160507174275
ours,front_sum_fy,47.058,11.845297815836673
ours,front_sum_fy,47.091,12.23986789596293
ours,front_sum_fy,47.124,11.534480277069548
