scenario,e_y_m
ours,0.002013467380339251
ours,0.0018343777683316187
ours,0.0015223837496280423
ours,0.0011947227850522824
ours,0.0010275455661633015
ours,0.0010399594752252828
ours,0.0013062373379150727
ours,0.001422223734477035
ours,0.001287296262433596
ours,0.0011536951490678515
ours,0.0011068490069842812
ours,0.0014963232588102726
ours,0.0017735388161030374
ours,0.0019120680184793737
ours,0.0020773222154316096
ours,0.0019262053122625356
ours,0.0017923093555430383
ours,0.002160264057301863
ours,0.002576165332210112
ours,0.002627675573509347
ours,0.002673672342582478
ours,0.002537300484954272
ours,0.0024598333142788475
ours,0.0022689196891774455
ours,0.0022471239305173474
ours,0.0022867689114212664
ours,0.00208789686897648
ours,0.001815290906161282
ours,0.0019485308534568646
ours,0.0022674016535744745
ours,0.0029699159890032023
ours,0.0031228225876741567
ours,0.0030864429277618344
ours,0.0025739881919867313
ours,0.0020766722557886697
ours,0.0012998569582983732
ours,0.001003420117447501
ours,0.0007934962436517146
ours,0.0010836301568607487
ours,0.0014542233221672696
ours,0.002291046426639954
ours,0.0027755706727886076
ours,0.002870384166719253
ours,0.0028928166005603995
ours,0.0027704570200303147
ours,0.002298109682795986
ours,0.002438320472174786
ours,0.002893414148110729
ours,0.003031431982695579
ours,0.003687476308874893
ours,0.0040625643998590255
ours,0.004702160718913856
ours,0.004637893880439198
ours,0.0042595011489180434
ours,0.004147017354778182
ours,0.0037840576789952007
ours,0.003218189457720705
ours,0.0029732193898429904
ours,0.0028613882552640524
ours,0.0030832616234742205
ours,0.003314058701279661
ours,0.004289929658953223
ours,0.004935686656108679
ours,0.005121530052647011
ours,0.004917745079314584
ours,0.004519128467713633
ours,0.0043279937517177736
ours,0.004379923976270628
ours,0.004460745690308243
ours,0.003996843216353886
ours,0.003714212462046451
ours,0.003428613102706188
ours,0.002994833608790659
ours,0.00267506404307849
ours,0.0027526612955160457
ours,0.002539188669091197
ours,0.002513406735595247
ours,0.002622087425077163
ours,0.0029334442736925204
ours,0.0034886130280296357
ours,0.004011708157437344
ours,0.004637781463593879
ours,0.005132897558927152
ours,0.00511344702062011
ours,0.00513586004380856
ours,0.005191040861371676
ours,0.0050945025252076
ours,0.005191315428120067
ours,0.004925079742302968
ours,0.004723247711238221
ours,0.0038796646376594024
ours,0.002903368969686515
ours,0.002018375499935443
ours,0.0014430178108088276
ours,0.001009385631628501
ours,0.00047291450760425513
ours,0.000258266079972036
ours,0.00039859527188174093
ours,0.0006985091316245307
ours,0.0014011206772180373
ours,0.001985846016368656
ours,0.002543054262872102
ours,0.003622959994833086
ours,0.004183682685426238
ours,0.004261369369179091
ours,0.00427342944511357
ours,0.004408013071874384
ours,0.00407061787146501
ours,0.0022844663055099634
ours,0.0009624440982082816
ours,-0.00292472671510835
ours,-0.00521492157095994
ours,-0.006341896243295342
ours,-0.004216213132182067
ours,-0.001644112161734712
ours,0.005335134907211991
ours,0.010329245454794161
ours,0.01252744120673166
ours,0.011765310961434183
ours,0.009358493380331234
ours,0.005212293571672355
ours,0.0013820122057849882
ours,-7.375519236879624e-05
ours,-0.00034766223507104455
ours,0.00030083050999640815
ours,0.0016232402524155032
ours,0.00244474737746328
ours,0.002815444785335186
ours,0.0028199449808171996
ours,0.00282770131889859
ours,0.0025970182408130427
ours,0.002270205061799535
ours,0.0021538831568285177
ours,0.002048547097779796
ours,0.002386303175440335
ours,0.002651057728545167
ours,0.0029180420747156877
ours,0.0029429338391477877
ours,0.0026335499036780896
ours,0.0022480493969246618
ours,0.002365603059646129
ours,0.001957008726664211
ours,0.002055098772064168
ours,0.002164295778513514
ours,0.0019190023943216339
ours,0.0017904620933331672
ours,0.0017049189175931678
ours,0.0017483475727139708
ours,0.002024715078587591
ours,0.002479070809694478
ours,0.002304461626232157
ours,0.002133273660099492
ours,0.002047270209975416
ours,0.0014203477211002513
ours,0.0011238748680421282
ours,0.0006107809831028266
ours,2.688375892545558e-05
ours,0.0002258901056280127
ours,0.0006652862271273041
ours,0.0013315714087394626
ours,0.0018136708625866305
ours,0.0028740405451176954
ours,0.0034003945157795035
ours,0.0037232404341103753
ours,0.003920117148435404
ours,0.004023616639693139
ours,0.00425292609174871
ours,0.004437254320185838
ours,0.00426434720242197
ours,0.0037190714911021217
ours,0.003090874605084032
ours,0.00263141800537834
ours,0.0021351319782379474
ours,0.0016662308601610443
ours,0.0011099419804088129
ours,-0.00016750727557732215
ours,-0.001610783550060866
ours,-0.002616365443388502
ours,-0.0027289004776782505
ours,-0.0013724878609162605
ours,0.0006564226275551088
ours,0.002827135816474785
ours,0.004429007236714355
ours,0.0048552924401499414
ours,0.004619701537073084
ours,0.0037760432201703886
ours,0.0029364731281116274
ours,0.002598774938257997
ours,0.002729795741766017
ours,0.003309110613131272
ours,0.003660154184182418
ours,0.0039844177245376144
ours,0.003919587151682259
ours,0.003598234751421618
ours,0.0026319375935012768
ours,-0.0002953406451104701
ours,-0.005485745152750827
ours,-0.010377995189578266
ours,-0.014940345505258629
ours,-0.019254164717807054
ours,-0.02175953525272234
ours,-0.022837198057781942
ours,-0.022814004374790753
ours,-0.02334770531004538
ours,-0.0243308622086304
ours,-0.026475179677213745
ours,-0.03179719071359638
ours,-0.03597392274890625
ours,-0.03914551758843754
ours,-0.0423677108783751
ours,-0.04726540733639906
ours,-0.04948433341839992
ours,-0.05231775024027435
ours,-0.054769154898222955
ours,-0.058673635186903994
ours,-0.05935450231655659
ours,-0.06392685397698186
ours,-0.0653472312052489
ours,-0.0715204038642239
ours,-0.07347187033919272
ours,-0.07777166698588064
ours,-0.08344127932841511
ours,-0.0872320944909738
ours,-0.09037667090528935
ours,-0.09309972377563082
ours,-0.09613048728944125
ours,-0.10470427313311478
ours,-0.11037821184894578
ours,-0.11843356816048681
ours,-0.1309836614242835
ours,-0.13038501525908436
ours,-0.1329241339220693
ours,-0.11627976675447922
ours,-0.10570107382394145
ours,-0.09632452247572619
ours,-0.09925474873701999
ours,-0.10684398012188122
ours,-0.1208404349873534
ours,-0.14257162891292682
ours,-0.17180171917325623
ours,-0.17802009175063527
ours,-0.16613124026908027
ours,-0.1615285868531703
ours,-0.1399854136017753
ours,-0.12825120760314768
ours,-0.12655511433497335
ours,-0.1331612290379905
ours,-0.14608270056333675
ours,-0.17065472984638913
ours,-0.18332103210087247
ours,-0.1934470617929573
ours,-0.19986703524950242
ours,-0.204713823358745
ours,-0.2085169351832406
ours,-0.21765489707138055
ours,-0.2336737759199253
ours,-0.24960509746882992
ours,-0.26562315815862114
ours,-0.2801627157091795
ours,-0.2838932052749175
ours,-0.2721618804842644
ours,-0.2512760473095621
ours,-0.19277140667563114
ours,-0.15255847283560958
ours,-0.09972401823875808
ours,-0.07858400230664361
ours,-0.07324311231433495
ours,-0.0848611340777348
ours,-0.1168479337620458
ours,-0.13130273985763677
ours,-0.13156308924204854
ours,-0.12471709353707305
ours,-0.10325347372549863
ours,-0.08102535669447032
ours,-0.060103243192827505
ours,-0.035817127048119624
ours,-0.029031488579226876
ours,-0.029147101819042842
ours,-0.03075615909597991
ours,-0.03188171134980601
ours,-0.02861312667718744
ours,-0.022117869704098063
ours,-0.012949703453570445
ours,0.005260897136090939
ours,0.016147466401521732
ours,0.02269451704267788
ours,0.028782819887595196
ours,0.03148015711003618
ours,0.035989517121546244
ours,0.04093352407789089
ours,0.04811879166864448
ours,0.0629522421415562
ours,0.07427251076889181
ours,0.0899105235357501
ours,0.09564022794792665
ours,0.11003436262542039
ours,0.11862778069512901
ours,0.12721930817098295
ours,0.1434667300398621
ours,0.15441857382451493
ours,0.1651026282434822
ours,0.17498566020857054
ours,0.1830218699780415
ours,0.18140464611049023
ours,0.1818805673279557
ours,0.17438014045012143
ours,0.15504084613015917
ours,0.15238921354327845
ours,0.1626419503776549
ours,0.16623535296621805
ours,0.1683794273958163
ours,0.17585920617401385
ours,0.1951686783676655
ours,0.2018856797801085
ours,0.20804020859676198
ours,0.2099655140029757
ours,0.22269017641035055
ours,0.2218285172449172
ours,0.2380704472956598
ours,0.23861186154000713
ours,0.24643813437775092
ours,0.2673805083592071
ours,0.27958478581097684
ours,0.2940688086405334
ours,0.308920412892023
ours,0.3178935018221166
ours,0.3295498567225174
ours,0.33031654436503005
ours,0.3285343419844985
ours,0.3136878943451618
ours,0.30756935866635193
