scenario,signal,series,t_s,value
ours,v_y,ground_truth,45.342,0.16355269422894914
ours,v_y,ground_truth,45.441,0.13781194020616994
ours,v_y,ground_truth,45.573,0.13139267626356066
ours,v_y,ground_truth,45.738,0.190184619393305
ours,v_y,ground_truth,45.837,0.24728422303383724
ours,v_y,ground_truth,45.969,0.3178916473427158
ours,v_y,ground_truth,46.167,0.30026529861568285
ours,v_y,ground_truth,46.365,0.23069083099638377
ours,v_y,ground_truth,46.563,0.1594529275757015
ours,v_y,ground_truth,46.662,0.14300077559340174
ours,v_y,ground_truth,46.827,0.11976079104971049
ours,v_y,ground_truth,46.893,0.11460864843167506
ours,v_y,ground_truth,47.058,0.10629640911671778
ours,v_y,ground_truth,47.157,0.1058071395952993
ours,v_y,ground_truth,47.289,0.10487237724394127
ours,v_y,ground_truth,47.421,0.10564973480453332
ours,v_y,ground_truth,47.553,0.10298477624003155
ours,v_y,ground_truth,47.685,0.10094023522882445
ours,v_y,ground_truth,47.883,0.09717528924281638
ours,v_y,ground_truth,48.015,0.0964530794038918
ours,v_y,ground_truth,48.147,0.1010123336271942
ours,v_y,ground_truth,48.213,0.10271240297988093
ours,v_y,ground_truth,48.345,0.10506345984034837
ours,v_y,ground_truth,48.411,0.10727348167315576
