scenario,signal,error_gt_minus_est
ours,v_y,-0.004616381049567797
ours,v_y,-0.00475293635208035
ours,v_y,-0.00585730995014766
ours,v_y,-0.004742423522035022
ours,v_y,-0.0043903793395849156
ours,v_y,-0.004632304136958976
ours,v_y,-0.006012438239943019
ours,v_y,-0.005841321159123503
ours,v_y,-0.010619819550802267
ours,v_y,-0.010152599442123322
ours,v_y,-0.01319964698998144
ours,v_y,-0.025882953767172978
ours,v_y,-0.006577142773223021
ours,v_y,-0.009700183916137667
ours,v_y,-0.006988665655832164
ours,v_y,-0.0028817396102207606
ours,v_y,0.0036740537567879136
ours,v_y,0.0005470661081318079
ours,v_y,0.004166353110465759
ours,v_y,0.005409112043887415
ours,v_y,0.004578063495994628
ours,v_y,0.0072164085892046925
ours,v_y,0.0061400958276917605
ours,v_y,0.007471026516985446
ours,v_y,0.007896787906567393
ours,v_y,0.00786958105918767
ours,v_y,0.010006106204127008
ours,v_y,0.009706128445284457
ours,v_y,0.00941968326123982
ours,v_y,0.007542877891751509
ours,v_y,0.007244872913567901
ours,v_y,0.008570152090180472
ours,v_y,0.008100983573892606
ours,v_y,0.008497235084673538
ours,v_y,0.007882372387783942
