scenario,signal,error_gt_minus_est
ours,omega,0.015695406119360537
ours,omega,0.0068134111736169525
ours,omega,0.005915274733209783
ours,omega,0.009069336839720554
ours,omega,0.0113752665096453
ours,omega,0.010051323531200716
ours,omega,0.009376789518362696
ours,omega,0.015166681446489319
ours,omega,0.010578867401203382
ours,omega,0.014315162765806619
ours,omega,0.015828731500233423
ours,omega,0.02261194347533052
ours,omega,0.018496199244973074
ours,omega,0.020932349953508594
ours,omega,0.01648974536275699
ours,omega,0.0235834534186809
ours,omega,0.018475801099650718
ours,omega,0.02839551354641537
ours,omega,0.0222270302157479
ours,omega,0.019780349390290913
ours,omega,0.026727650993789792
ours,omega,0.02625292055057868
ours,omega,0.035512835165729034
ours,omega,0.027644723201771082
ours,omega,0.040333082960620575
ours,omega,0.025955400081304536
ours,omega,0.02602510789951104
ours,omega,0.046919016518013945
ours,omega,0.029902092503192063
ours,omega,0.04620032583234818
ours,omega,0.027777778652635476
ours,omega,0.035840968151889696
ours,omega,0.03499248014157247
ours,omega,0.03622126380139751
ours,omega,0.028916211925955837
ours,omega,0.030403495921219048
ours,omega,0.028926522329931703
ours,omega,0.023636755378604796
ours,omega,0.025159834883949267
ours,omega,0.01777057295489451
ours,omega,0.01929911879993873
ours,omega,0.025933589883810115
ours,omega,0.010848973043002974
ours,omega,0.010378203814122411
ours,omega,0.01676565650104489
ours,omega,0.016942639230209583
ours,omega,0.015734043613256393
ours,omega,0.009062252091489004
ours,omega,0.0073516048524956135
ours,omega,0.005797150529365996
ours,omega,0.011944457306188566
ours,omega,0.015983421545088722
ours,omega,0.012848362152738074
ours,omega,0.01085463678520493
ours,omega,0.004427408695015123
ours,omega,0.0014127028357945604
ours,omega,-0.0010217522564791581
ours,omega,0.002603351942742582
ours,omega,-0.0061475291961348155
ours,omega,-0.003567467094089921
ours,omega,-0.006223834787083771
ours,omega,-0.004962589940991927
ours,omega,-0.012115913122105082
ours,omega,-0.008497759289207305
ours,omega,-0.005889595567911118
ours,omega,-0.012840564258427542
ours,omega,-0.007473642386588028
ours,omega,-0.011158861795743394
ours,omega,-0.004651572254228853
ours,omega,-0.009610672212424426
ours,omega,-0.00466211963075247
ours,omega,-0.0038574617731134686
ours,omega,-0.006134010934014507
ours,omega,-0.004707646654441053
ours,omega,-0.005649830558935337
ours,omega,-0.002751254582624013
ours,omega,-0.005921414630634073
ours,omega,-0.006617933759055915
ours,omega,-0.004741166312379849
ours,omega,-0.01972257704183588
ours,omega,-0.01569032533679377
ours,omega,-0.03385701386838854
ours,omega,-0.037935809866872616
ours,omega,-0.008077017310899527
ours,omega,-0.029238043291575776
ours,omega,-0.02084745581823524
ours,omega,-0.022046861109794487
ours,omega,1.0334682985758958e-05
ours,omega,-0.016674664231272937
ours,omega,-0.004099049451264311
ours,omega,-0.00425858180631352
ours,omega,-0.010869961351520338
ours,omega,-0.0027303591228914417
ours,omega,-0.0065923474113474545
ours,omega,-0.0021305366589247227
ours,omega,-0.0010163339927003329
ours,omega,-0.0029061440896337304
ours,omega,0.007211589773585506
ours,omega,-0.0024826397448969306
ours,omega,0.0003725147543232332
ours,omega,-0.006814255021837398
ours,omega,-0.005314263485887205
ours,omega,-0.002873777619294235
ours,omega,-0.006480489758041247
ours,omega,-0.0038479961778732225
ours,omega,-0.008246646372559938
ours,omega,-0.007509257662536642
ours,omega,-0.013189181869725009
ours,omega,-0.011108136316775263
ours,omega,-0.007929566913895486
ours,omega,-0.010228095490831424
ours,omega,-0.007917209392360042
ours,omega,-0.005711151065879383
ours,omega,-0.0024023094045996785
ours,omega,-0.0025053933897824787
ours,omega,0.0019865406390499607
ours,omega,-0.001123322870713317
ours,omega,0.0004864620695205768
ours,omega,-0.0036727151388585566
ours,omega,-0.004932643016471616
ours,omega,-0.008487789555383651
ours,omega,-0.0285888400337551
ours,omega,-0.021199651425338056
ours,omega,-0.024109458440535914
ours,omega,-0.02713660927510894
ours,omega,-0.01592568054121621
ours,omega,-0.02606697835199895
ours,omega,-0.026521309004001264
ours,omega,-0.03483150865929188
ours,omega,-0.02921098452402998
ours,omega,-0.030569317483372965
ours,omega,-0.03983210121524389
ours,omega,-0.03594597072668809
ours,omega,-0.045853225925445634
ours,omega,-0.03524591945934119
ours,omega,-0.056803185255447725
ours,omega,-0.03932059659147935
ours,omega,-0.03827550201662455
ours,omega,-0.051815792272467465
ours,omega,-0.050255908799943266
ours,omega,-0.06175202558950252
ours,omega,-0.05013613851218732
ours,omega,-0.06015617087355446
ours,omega,-0.04837017757796108
ours,omega,-0.046735207325123984
ours,omega,-0.06450187690870454
ours,omega,-0.054085484499680536
ours,omega,-0.07639742269112587
ours,omega,-0.061224709290766954
ours,omega,-0.07815094982067289
ours,omega,-0.04776555809691985
ours,omega,-0.025545269529584413
ours,omega,-0.07754766518231959
ours,omega,-0.03796488418114252
ours,omega,-0.05198668980525928
ours,omega,-0.030798871020804586
ours,omega,-0.027123510334245426
ours,omega,-0.008480708896458633
ours,omega,-0.007960053428732017
ours,omega,0.01633359431241535
ours,omega,0.000495524802322872
ours,omega,-0.011057369883398172
ours,omega,-0.004582295430461986
ours,omega,0.010600171079797244
ours,omega,0.00234583224807719
ours,omega,-1.909924029308563e-05
ours,omega,-0.006202290042742614
ours,omega,0.008851721965414963
